Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,27043,2867649,2075306,1523889,336707,420570,61475,371773,2353230,23170,149611
C:\Users\USAMA\Desktop\FYP2\event_hub,27043,2867649,2075306,1523889,336707,420570,61475,371773,2353230,23170,149611
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules,26952,2858905,2067146,1519760,336330,420310,61341,371449,2352159,23157,149502
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design,746,23334,22456,13020,434,865,10,13,67,3,12
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\colors,2,146,140,108,18,2,7,4,19,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\colors\lib,2,146,140,108,18,2,7,4,19,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\create-react-context,2,212,153,138,28,57,3,2,18,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\create-react-context\lib,2,212,153,138,28,57,3,2,18,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\icons,736,22445,21707,12427,313,735,0,3,12,3,12
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\icons-react,6,531,456,347,75,71,0,4,18,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\icons-react\es,3,224,206,149,37,16,0,2,9,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\icons-react\es\components,1,124,111,77,15,12,0,1,5,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\icons-react\lib,3,307,250,198,38,55,0,2,9,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\icons-react\lib\components,1,158,126,96,15,31,0,1,5,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\icons\lib,736,22445,21707,12427,313,735,0,3,12,3,12
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\icons\lib\fill,214,4292,4078,2144,0,214,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\icons\lib\outline,367,7539,7172,3748,0,367,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@ant-design\icons\lib\twotone,148,5357,5209,2340,148,148,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel,971,94400,71677,50415,13999,15112,457,7611,48833,282,2333
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\code-frame,1,173,146,131,24,27,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\code-frame\lib,1,173,146,131,24,27,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\core,58,17313,11396,7622,2295,2387,182,3530,22910,139,1154
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\core\lib,38,4953,4027,2986,706,914,6,12,148,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\core\lib\config,22,2875,2309,1740,433,554,5,12,146,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\core\lib\config\files,6,724,553,455,103,159,3,12,136,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\core\lib\config\helpers,2,96,73,52,17,23,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\core\lib\config\validation,4,586,488,332,88,98,1,0,6,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\core\lib\tools,1,145,119,108,19,26,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\core\lib\transformation,9,1403,1166,776,177,237,1,0,2,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\core\lib\transformation\file,3,608,499,360,92,109,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\core\lib\transformation\util,1,239,233,90,4,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\core\node_modules,20,12360,7369,4636,1589,1473,176,3518,22762,139,1154
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\core\node_modules\debug,5,1714,1044,692,189,271,21,399,1890,15,58
